Kvar_Good,Kvar_Bad,KvarR_Good,KvarR_Bad,Con_Good,Con_Bad
184.7486661,100.0906242,183.4195251,105.3435903,89.06657476,51.54097802
135.8087001,74.08487898,134.8748771,77.82329862,89.06657476,51.54097802
120.7791252,66.61228448,119.9327319,70.00942961,89.06657476,51.54097802
113.4694735,63.06681908,112.6582543,66.32417394,89.06657476,51.54097802
109.1452795,60.99686752,108.3523998,64.18025384,89.06657476,51.54097802
106.2872559,59.63996708,105.5054428,62.77817756,89.06657476,51.54097802
104.2576702,58.68180066,103.4831915,61.78977186,89.06657476,51.54097802
102.7418639,57.96912403,101.9725729,61.0555267,89.06657476,51.54097802
101.5666413,57.41830424,100.8011994,60.4885903,89.06657476,51.54097802
100.6287965,56.97982398,99.86631656,60.03763213,89.06657476,51.54097802
99.8630005,56.62249562,99.10286629,59.67036936,89.06657476,51.54097802
99.22588381,56.32569823,98.46765094,59.3654823,89.06657476,51.54097802
98.68752461,56.07525184,97.93086256,59.10832505,89.06657476,51.54097802
98.22661117,55.86108479,97.4712678,58.88850382,89.06657476,51.54097802
97.82755261,55.67584635,97.07333136,58.69843826,89.06657476,51.54097802
97.47867993,55.51404597,96.72542474,58.53246992,89.06657476,51.54097802
97.17108574,55.37149992,96.4186707,58.38628947,89.06657476,51.54097802
96.89785292,55.24496427,96.14617504,58.25655727,89.06657476,51.54097802
96.65352812,55.13188505,95.9025021,58.14064514,89.06657476,51.54097802
96.43375402,55.0302241,95.68330845,58.03645648,89.06657476,51.54097802
96.23500711,54.93833507,95.48508164,57.94229839,89.06657476,51.54097802
96.05440741,54.85487361,95.30495056,57.8567889,89.06657476,51.54097802
95.88957788,54.77873116,95.14054542,57.77878879,89.06657476,51.54097802
95.73853931,54.7089854,94.98989295,57.70735047,89.06657476,51.54097802
95.59963036,54.64486276,94.85133675,57.64167938,89.06657476,51.54097802
95.47144626,54.58570955,94.72347615,57.58110423,89.06657476,51.54097802
95.3527911,54.53096963,94.60511874,57.52505403,89.06657476,51.54097802
95.24264039,54.48016687,94.49524296,57.47304004,89.06657476,51.54097802
95.14011144,54.43289124,94.39296864,57.42464143,89.06657476,51.54097802
95.04443963,54.38878774,94.2975333,57.37949392,89.06657476,51.54097802
94.95495929,54.34754746,94.20827317,57.33728059,89.06657476,51.54097802
94.87108823,54.30890035,94.12460766,57.29772439,89.06657476,51.54097802
94.79231503,54.27260928,94.04602676,57.26058211,89.06657476,51.54097802
94.7181886,54.23846517,93.97208063,57.22563932,89.06657476,51.54097802
94.64830956,54.20628297,93.90237096,57.19270626,89.06657476,51.54097802
94.58232302,54.17589832,93.83654381,57.16161441,89.06657476,51.54097802
94.51991253,54.14716469,93.77428362,57.13221356,89.06657476,51.54097802
94.46079508,54.11995109,93.71530811,57.10436941,89.06657476,51.54097802
94.40471673,54.09414,93.65936402,57.07796151,89.06657476,51.54097802
94.351449,54.06962572,93.60622348,57.05288153,89.06657476,51.54097802
94.30078575,54.04631292,93.55568088,57.02903177,89.06657476,51.54097802
94.25254053,54.02411537,93.50755028,57.00632387,89.06657476,51.54097802
94.20654425,54.00295493,93.46166302,56.98467776,89.06657476,51.54097802
94.16264325,53.98276057,93.41786584,56.96402066,89.06657476,51.54097802
94.12069755,53.96346759,93.37601912,56.9442863,89.06657476,51.54097802
94.08057936,53.94501698,93.3359954,56.92541421,89.06657476,51.54097802
94.04217179,53.92735474,93.2976781,56.90734908,89.06657476,51.54097802
94.00536772,53.9104314,93.26096036,56.89004024,89.06657476,51.54097802
93.97006878,53.89420153,93.22574407,56.87344117,89.06657476,51.54097802
93.93618449,53.87862338,93.19193899,56.85750909,89.06657476,51.54097802
