Kvar_S,Kvar_D,Kvar_C,AF
205.02,241.684,74.63,5
142.93,163.799,74.63,10
123.67,137.298,74.63,15
114.27,123.904,74.63,20
108.69,115.817,74.63,25
105,110.403,74.63,30
102.38,106.524,74.63,35
100.42,103.609,74.63,40
98.9,101.338,74.63,45
97.68,99.519,74.63,50
96.69,98.029,74.63,55
95.87,96.786,74.63,60
95.17,95.733,74.63,65
94.57,94.831,74.63,70
94.05,94.048,74.63,75
93.6,93.363,74.63,80
93.2,92.758,74.63,85
92.85,92.22,74.63,90
92.53,91.738,74.63,95
92.25,91.305,74.63,100
91.99,90.913,74.63,105
91.75,90.556,74.63,110
91.54,90.23,74.63,115
91.34,89.931,74.63,120
91.16,89.657,74.63,125
91,89.403,74.63,130
90.84,89.168,74.63,135
90.7,88.95,74.63,140
90.57,88.746,74.63,145
90.44,88.557,74.63,150
90.33,88.379,74.63,155
90.22,88.213,74.63,160
90.12,88.057,74.63,165
90.02,87.909,74.63,170
89.93,87.771,74.63,175
89.84,87.64,74.63,180
89.76,87.516,74.63,185
89.69,87.398,74.63,190
89.61,87.287,74.63,195
89.54,87.181,74.63,200
